 Plane K = 1
      I =  1            2            3            4            5            6            7            8            9
 J=  1    7.95         8.70         7.40         7.12         7.20         9.19         7.17         4.49         4.62
 J=  2    7.37         8.92         9.07         7.82         8.02         6.17         6.02         3.46         3.50
 J=  3    9.44         6.27         7.26         5.64         5.25         5.76         5.66         4.28         5.31
 J=  4    9.00         5.35         6.27         7.33         5.30         5.08         3.86         5.50         6.61
 J=  5    6.76         6.94         6.36         5.98         6.79         4.69         3.62         5.77         8.22
 J=  6    7.65         5.64         7.87         6.74         6.83         5.05         6.32         9.22         11.3
 J=  7    6.20         13.0         6.95         6.09         7.23         7.36         8.34         7.63         8.14
 J=  8    6.48         7.47         6.77         8.42         7.03         7.45         8.43         6.63         7.95
 J=  9    6.67         7.87         8.42         7.54         8.29         7.85         6.86         11.7         11.7
 J= 10    9.54         9.33         7.83         9.93         7.84         12.0         10.1         10.7         19.6
 J= 11    9.76         8.16         5.54         6.64         6.23         7.68         12.1         15.6         15.1
 J= 12    6.64         6.21         5.63         4.83         7.76         13.1         14.8         15.2         13.1
 J= 13    4.13         4.87         4.57         7.27         11.8         12.4         12.5         20.9         26.9
 J= 14    2.33         3.47         4.31         6.92         10.4         11.6         13.7         24.7         31.9
 J= 15    3.96         3.65         2.65         5.10         7.91         9.66         12.9         16.4         24.5
 J= 16    5.41         4.44         5.05         6.95         8.00         11.8         16.1         15.9         19.8
 J= 17    5.02         4.74         2.66         4.83         18.0         19.7         21.7         23.0         21.7
 J= 18    4.73         4.80         4.32         7.88         23.7         38.6         32.3         31.0         37.6
 J= 19    4.26         3.13         6.21         13.7         22.3         19.3         14.6         33.3         47.4
 J= 20    1.65         2.22         4.22         6.57         8.95         11.5         9.78         18.0         19.1
 J= 21    3.26         2.82         2.77         4.04         8.61         8.74         12.8         13.6         13.3
 J= 22    5.26         3.75         3.62         4.58         6.89         7.56         11.8         12.8         23.9
 J= 23    5.79         6.92         4.18         4.92         6.74         7.89         12.2         20.1         18.9
 J= 24    5.96         4.15         4.32         6.08         8.51         9.14         11.4         12.3         15.1
 J= 25    7.92         7.26         6.29         5.41         4.88         5.29         9.34         8.65         9.33

      I = 10           11           12           13           14           15           16           17           18
