25	25
0.00	0.00	51.500
0.00	1.00	49.900
0.00	2.00	17.700
0.00	3.00	13.800
0.00	4.00	8.930
0.00	5.00	32.100
0.00	6.00	34.100
0.00	7.00	19.800
0.00	8.00	11.900
0.00	9.00	8.570
0.00	10.00	9.850
0.00	11.00	9.020
0.00	12.00	7.320
0.00	13.00	7.200
0.00	14.00	6.790
0.00	15.00	11.900
0.00	16.00	9.420
0.00	17.00	10.200
0.00	18.00	9.700
0.00	19.00	10.200
0.00	20.00	9.980
0.00	21.00	16.800
0.00	22.00	14.300
0.00	23.00	21.200
0.00	24.00	20.300
1.00	0.00	14.700
1.00	1.00	15.800
1.00	2.00	17.700
1.00	3.00	17.500
1.00	4.00	19.600
1.00	5.00	47.900
1.00	6.00	54.500
1.00	7.00	34.800
1.00	8.00	18.000
1.00	9.00	8.810
1.00	10.00	9.820
1.00	11.00	8.590
1.00	12.00	8.350
1.00	13.00	9.040
1.00	14.00	8.460
1.00	15.00	12.600
1.00	16.00	14.300
1.00	17.00	12.300
1.00	18.00	11.500
1.00	19.00	8.890
1.00	20.00	12.300
1.00	21.00	15.800
1.00	22.00	18.800
1.00	23.00	14.600
1.00	24.00	16.400
2.00	0.00	14.400
2.00	1.00	18.600
2.00	2.00	20.400
2.00	3.00	20.300
2.00	4.00	15.000
2.00	5.00	27.600
2.00	6.00	27.200
2.00	7.00	55.000
2.00	8.00	37.900
2.00	9.00	14.500
2.00	10.00	10.600
2.00	11.00	6.720
2.00	12.00	6.540
2.00	13.00	8.360
2.00	14.00	8.050
2.00	15.00	10.500
2.00	16.00	3.010
2.00	17.00	2.080
2.00	18.00	10.800
2.00	19.00	10.500
2.00	20.00	20.100
2.00	21.00	27.300
2.00	22.00	21.200
2.00	23.00	24.600
2.00	24.00	22.100
3.00	0.00	15.200
3.00	1.00	24.700
3.00	2.00	23.300
3.00	3.00	16.600
3.00	4.00	22.600
3.00	5.00	23.100
3.00	6.00	20.700
3.00	7.00	44.400
3.00	8.00	25.600
3.00	9.00	12.700
3.00	10.00	8.500
3.00	11.00	6.680
3.00	12.00	6.190
3.00	13.00	8.460
3.00	14.00	8.820
3.00	15.00	2.530
3.00	16.00	3.530
3.00	17.00	17.700
3.00	18.00	1.940
3.00	19.00	13.300
3.00	20.00	13.200
3.00	21.00	23.400
3.00	22.00	19.600
3.00	23.00	19.100
3.00	24.00	20.900
4.00	0.00	23.500
4.00	1.00	25.300
4.00	2.00	22.200
4.00	3.00	23.300
4.00	4.00	17.400
4.00	5.00	20.200
4.00	6.00	17.400
4.00	7.00	25.200
4.00	8.00	16.800
4.00	9.00	10.400
4.00	10.00	9.010
4.00	11.00	8.330
4.00	12.00	7.960
4.00	13.00	11.900
4.00	14.00	7.970
4.00	15.00	10.300
4.00	16.00	20.200
4.00	17.00	18.800
4.00	18.00	2.980
4.00	19.00	3.520
4.00	20.00	14.300
4.00	21.00	4.880
4.00	22.00	5.970
4.00	23.00	18.200
4.00	24.00	24.500
5.00	0.00	15.200
5.00	1.00	17.000
5.00	2.00	24.100
5.00	3.00	11.000
5.00	4.00	13.300
5.00	5.00	8.560
5.00	6.00	20.900
5.00	7.00	20.500
5.00	8.00	16.100
5.00	9.00	16.300
5.00	10.00	14.500
5.00	11.00	10.600
5.00	12.00	11.700
5.00	13.00	11.800
5.00	14.00	8.560
5.00	15.00	13.200
5.00	16.00	13.900
5.00	17.00	3.810
5.00	18.00	17.800
5.00	19.00	14.300
5.00	20.00	18.300
5.00	21.00	14.600
5.00	22.00	16.700
5.00	23.00	8.210
5.00	24.00	5.550
6.00	0.00	24.100
6.00	1.00	11.800
6.00	2.00	14.900
6.00	3.00	11.600
6.00	4.00	16.700
6.00	5.00	20.500
6.00	6.00	15.600
6.00	7.00	18.500
6.00	8.00	18.700
6.00	9.00	21.700
6.00	10.00	20.400
6.00	11.00	14.200
6.00	12.00	13.000
6.00	13.00	10.000
6.00	14.00	3.930
6.00	15.00	9.530
6.00	16.00	11.900
6.00	17.00	2.700
6.00	18.00	16.000
6.00	19.00	13.700
6.00	20.00	13.300
6.00	21.00	14.400
6.00	22.00	5.240
6.00	23.00	5.540
6.00	24.00	3.780
7.00	0.00	30.000
7.00	1.00	11.900
7.00	2.00	9.140
7.00	3.00	11.900
7.00	4.00	12.800
7.00	5.00	12.100
7.00	6.00	9.690
7.00	7.00	16.400
7.00	8.00	28.000
7.00	9.00	26.500
7.00	10.00	19.100
7.00	11.00	13.600
7.00	12.00	16.600
7.00	13.00	11.800
7.00	14.00	4.220
7.00	15.00	15.100
7.00	16.00	25.800
7.00	17.00	11.100
7.00	18.00	9.530
7.00	19.00	11.800
7.00	20.00	12.600
7.00	21.00	13.200
7.00	22.00	8.710
7.00	23.00	20.700
7.00	24.00	19.000
8.00	0.00	24.600
8.00	1.00	9.950
8.00	2.00	9.170
8.00	3.00	7.890
8.00	4.00	22.000
8.00	5.00	9.530
8.00	6.00	11.400
8.00	7.00	6.530
8.00	8.00	22.000
8.00	9.00	22.400
8.00	10.00	16.500
8.00	11.00	15.900
8.00	12.00	15.900
8.00	13.00	15.300
8.00	14.00	10.800
8.00	15.00	18.200
8.00	16.00	23.100
8.00	17.00	12.300
8.00	18.00	8.790
8.00	19.00	14.700
8.00	20.00	19.100
8.00	21.00	15.000
8.00	22.00	20.700
8.00	23.00	22.900
8.00	24.00	5.550
9.00	0.00	20.400
9.00	1.00	22.400
9.00	2.00	29.000
9.00	3.00	26.500
9.00	4.00	7.710
9.00	5.00	4.920
9.00	6.00	3.950
9.00	7.00	5.840
9.00	8.00	8.600
9.00	9.00	17.800
9.00	10.00	17.600
9.00	11.00	7.520
9.00	12.00	15.200
9.00	13.00	16.500
9.00	14.00	21.500
9.00	15.00	17.600
9.00	16.00	16.300
9.00	17.00	11.400
9.00	18.00	14.500
9.00	19.00	10.400
9.00	20.00	17.200
9.00	21.00	15.600
9.00	22.00	16.400
9.00	23.00	14.300
9.00	24.00	4.910
10.00	0.00	24.600
10.00	1.00	17.300
10.00	2.00	22.900
10.00	3.00	6.350
10.00	4.00	5.260
10.00	5.00	3.210
10.00	6.00	4.290
10.00	7.00	4.670
10.00	8.00	5.690
10.00	9.00	16.600
10.00	10.00	6.490
10.00	11.00	4.850
10.00	12.00	11.600
10.00	13.00	17.000
10.00	14.00	16.600
10.00	15.00	21.600
10.00	16.00	12.700
10.00	17.00	12.900
10.00	18.00	10.500
10.00	19.00	10.500
10.00	20.00	11.700
10.00	21.00	16.200
10.00	22.00	16.600
10.00	23.00	12.900
10.00	24.00	2.580
11.00	0.00	29.200
11.00	1.00	19.400
11.00	2.00	12.000
11.00	3.00	10.600
11.00	4.00	8.820
11.00	5.00	10.400
11.00	6.00	4.590
11.00	7.00	4.660
11.00	8.00	7.650
11.00	9.00	8.970
11.00	10.00	6.000
11.00	11.00	3.730
11.00	12.00	3.060
11.00	13.00	3.570
11.00	14.00	3.070
11.00	15.00	1.850
11.00	16.00	2.870
11.00	17.00	11.400
11.00	18.00	8.000
11.00	19.00	15.900
11.00	20.00	13.400
11.00	21.00	13.800
11.00	22.00	12.000
11.00	23.00	3.460
11.00	24.00	2.770
12.00	0.00	6.190
12.00	1.00	15.100
12.00	2.00	10.100
12.00	3.00	13.600
12.00	4.00	11.000
12.00	5.00	8.950
12.00	6.00	3.920
12.00	7.00	4.880
12.00	8.00	5.080
12.00	9.00	6.630
12.00	10.00	4.600
12.00	11.00	4.320
12.00	12.00	50.000
12.00	13.00	1.660
12.00	14.00	1.370
12.00	15.00	1.650
12.00	16.00	2.100
12.00	17.00	11.000
12.00	18.00	10.800
12.00	19.00	10.700
12.00	20.00	11.400
12.00	21.00	9.510
12.00	22.00	12.100
12.00	23.00	11.600
12.00	24.00	3.270
13.00	0.00	5.380
13.00	1.00	6.330
13.00	2.00	3.380
13.00	3.00	11.800
13.00	4.00	2.350
13.00	5.00	2.330
13.00	6.00	2.640
13.00	7.00	3.760
13.00	8.00	2.530
13.00	9.00	3.340
13.00	10.00	2.130
13.00	11.00	1.960
13.00	12.00	3.110
13.00	13.00	2.140
13.00	14.00	1.640
13.00	15.00	1.940
13.00	16.00	1.620
13.00	17.00	1.930
13.00	18.00	2.990
13.00	19.00	17.800
13.00	20.00	17.500
13.00	21.00	19.500
13.00	22.00	14.100
13.00	23.00	12.600
13.00	24.00	16.800
14.00	0.00	4.520
14.00	1.00	5.910
14.00	2.00	3.380
14.00	3.00	1.980
14.00	4.00	2.040
14.00	5.00	1.910
14.00	6.00	2.330
14.00	7.00	2.300
14.00	8.00	3.190
14.00	9.00	3.890
14.00	10.00	2.480
14.00	11.00	1.790
14.00	12.00	2.590
14.00	13.00	2.330
14.00	14.00	3.700
14.00	15.00	3.780
14.00	16.00	2.270
14.00	17.00	1.590
14.00	18.00	2.960
14.00	19.00	21.600
14.00	20.00	25.000
14.00	21.00	18.300
14.00	22.00	16.200
14.00	23.00	13.600
14.00	24.00	10.600
15.00	0.00	7.840
15.00	1.00	4.890
15.00	2.00	2.950
15.00	3.00	2.370
15.00	4.00	1.930
15.00	5.00	2.590
15.00	6.00	2.610
15.00	7.00	2.250
15.00	8.00	2.760
15.00	9.00	4.200
15.00	10.00	2.150
15.00	11.00	2.840
15.00	12.00	2.260
15.00	13.00	2.050
15.00	14.00	3.040
15.00	15.00	3.660
15.00	16.00	2.010
15.00	17.00	2.710
15.00	18.00	12.700
15.00	19.00	25.400
15.00	20.00	25.200
15.00	21.00	17.100
15.00	22.00	12.000
15.00	23.00	8.990
15.00	24.00	12.100
16.00	0.00	4.770
16.00	1.00	3.850
16.00	2.00	4.380
16.00	3.00	3.510
16.00	4.00	2.240
16.00	5.00	2.970
16.00	6.00	2.980
16.00	7.00	2.920
16.00	8.00	2.390
16.00	9.00	2.690
16.00	10.00	2.270
16.00	11.00	3.210
16.00	12.00	2.240
16.00	13.00	3.770
16.00	14.00	4.750
16.00	15.00	2.070
16.00	16.00	2.520
16.00	17.00	2.050
16.00	18.00	2.110
16.00	19.00	20.200
16.00	20.00	27.100
16.00	21.00	16.800
16.00	22.00	10.800
16.00	23.00	11.700
16.00	24.00	8.130
17.00	0.00	6.000
17.00	1.00	5.550
17.00	2.00	3.690
17.00	3.00	3.040
17.00	4.00	4.280
17.00	5.00	4.640
17.00	6.00	4.450
17.00	7.00	2.410
17.00	8.00	1.710
17.00	9.00	4.560
17.00	10.00	3.210
17.00	11.00	4.270
17.00	12.00	1.610
17.00	13.00	2.740
17.00	14.00	4.400
17.00	15.00	6.000
17.00	16.00	4.750
17.00	17.00	2.110
17.00	18.00	5.700
17.00	19.00	14.500
17.00	20.00	19.300
17.00	21.00	18.200
17.00	22.00	11.000
17.00	23.00	13.100
17.00	24.00	8.370
18.00	0.00	6.430
18.00	1.00	4.560
18.00	2.00	5.360
18.00	3.00	6.250
18.00	4.00	9.490
18.00	5.00	5.410
18.00	6.00	2.220
18.00	7.00	1.940
18.00	8.00	1.580
18.00	9.00	5.140
18.00	10.00	4.800
18.00	11.00	2.040
18.00	12.00	2.600
18.00	13.00	5.060
18.00	14.00	4.960
18.00	15.00	5.430
18.00	16.00	3.790
18.00	17.00	3.660
18.00	18.00	4.700
18.00	19.00	20.500
18.00	20.00	5.250
18.00	21.00	14.000
