25	25
0.00	0.00	0.284
0.00	1.00	0.277
0.00	2.00	0.276
0.00	3.00	0.269
0.00	4.00	0.268
0.00	5.00	0.172
0.00	6.00	0.272
0.00	7.00	0.271
0.00	8.00	0.277
0.00	9.00	0.282
0.00	10.00	0.275
0.00	11.00	0.274
0.00	12.00	0.286
0.00	13.00	0.295
0.00	14.00	0.289
0.00	15.00	0.277
0.00	16.00	0.282
0.00	17.00	0.292
0.00	18.00	0.286
0.00	19.00	0.291
0.00	20.00	0.290
0.00	21.00	0.290
0.00	22.00	0.289
0.00	23.00	0.298
0.00	24.00	0.030
1.00	0.00	0.176
1.00	1.00	0.173
1.00	2.00	0.288
1.00	3.00	0.262
1.00	4.00	0.261
1.00	5.00	0.253
1.00	6.00	0.266
1.00	7.00	0.258
1.00	8.00	0.264
1.00	9.00	0.276
1.00	10.00	0.282
1.00	11.00	0.281
1.00	12.00	0.286
1.00	13.00	0.290
1.00	14.00	0.289
1.00	15.00	0.294
1.00	16.00	0.282
1.00	17.00	0.287
1.00	18.00	0.297
1.00	19.00	0.055
1.00	20.00	0.049
1.00	21.00	0.295
1.00	22.00	0.294
1.00	23.00	0.029
1.00	24.00	0.043
2.00	0.00	0.179
2.00	1.00	0.179
2.00	2.00	0.263
2.00	3.00	0.182
2.00	4.00	0.182
2.00	5.00	0.260
2.00	6.00	0.259
2.00	7.00	0.258
2.00	8.00	0.257
2.00	9.00	0.276
2.00	10.00	0.275
2.00	11.00	0.281
2.00	12.00	0.291
2.00	13.00	0.295
2.00	14.00	0.295
2.00	15.00	0.294
2.00	16.00	0.293
2.00	17.00	0.041
2.00	18.00	0.055
2.00	19.00	0.048
2.00	20.00	0.035
2.00	21.00	0.028
2.00	22.00	0.042
2.00	23.00	0.035
2.00	24.00	0.042
3.00	0.00	0.179
3.00	1.00	0.183
3.00	2.00	0.186
3.00	3.00	0.186
3.00	4.00	0.182
3.00	5.00	0.273
3.00	6.00	0.272
3.00	7.00	0.185
3.00	8.00	0.270
3.00	9.00	0.270
3.00	10.00	0.282
3.00	11.00	0.274
3.00	12.00	0.296
3.00	13.00	0.296
3.00	14.00	0.290
3.00	15.00	0.283
3.00	16.00	0.033
3.00	17.00	0.034
3.00	18.00	0.047
3.00	19.00	0.048
3.00	20.00	0.034
3.00	21.00	0.041
3.00	22.00	0.048
3.00	23.00	0.042
3.00	24.00	0.042
4.00	0.00	0.186
4.00	1.00	0.182
4.00	2.00	0.190
4.00	3.00	0.269
4.00	4.00	0.274
4.00	5.00	0.260
4.00	6.00	0.272
4.00	7.00	0.271
4.00	8.00	0.277
4.00	9.00	0.288
4.00	10.00	0.288
4.00	11.00	0.297
4.00	12.00	0.291
4.00	13.00	0.291
4.00	14.00	0.290
4.00	15.00	0.020
4.00	16.00	0.021
4.00	17.00	0.027
4.00	18.00	0.301
4.00	19.00	0.040
4.00	20.00	0.040
4.00	21.00	0.041
4.00	22.00	0.041
4.00	23.00	0.041
4.00	24.00	0.055
5.00	0.00	0.186
5.00	1.00	0.277
5.00	2.00	0.269
5.00	3.00	0.269
5.00	4.00	0.281
5.00	5.00	0.267
5.00	6.00	0.272
5.00	7.00	0.284
5.00	8.00	0.289
5.00	9.00	0.288
5.00	10.00	0.288
5.00	11.00	0.292
5.00	12.00	0.286
5.00	13.00	0.279
5.00	14.00	0.295
5.00	15.00	0.299
5.00	16.00	0.298
5.00	17.00	0.302
5.00	18.00	0.301
5.00	19.00	0.033
5.00	20.00	0.040
5.00	21.00	0.054
5.00	22.00	0.054
5.00	23.00	0.054
5.00	24.00	0.068
6.00	0.00	0.193
6.00	1.00	0.193
6.00	2.00	0.276
6.00	3.00	0.281
6.00	4.00	0.268
6.00	5.00	0.260
6.00	6.00	0.266
6.00	7.00	0.284
6.00	8.00	0.283
6.00	9.00	0.288
6.00	10.00	0.288
6.00	11.00	0.281
6.00	12.00	0.286
6.00	13.00	0.279
6.00	14.00	0.290
6.00	15.00	0.289
6.00	16.00	0.298
6.00	17.00	0.293
6.00	18.00	0.297
6.00	19.00	0.296
6.00	20.00	0.296
6.00	21.00	0.040
6.00	22.00	0.047
6.00	23.00	0.068
6.00	24.00	0.068
7.00	0.00	0.290
7.00	1.00	0.277
7.00	2.00	0.263
7.00	3.00	0.269
7.00	4.00	0.248
7.00	5.00	0.267
7.00	6.00	0.279
7.00	7.00	0.284
7.00	8.00	0.283
7.00	9.00	0.288
7.00	10.00	0.288
7.00	11.00	0.287
7.00	12.00	0.286
7.00	13.00	0.291
7.00	14.00	0.295
7.00	15.00	0.299
7.00	16.00	0.294
7.00	17.00	0.293
7.00	18.00	0.301
7.00	19.00	0.301
7.00	20.00	0.300
7.00	21.00	0.046
7.00	22.00	0.047
7.00	23.00	0.298
7.00	24.00	0.067
8.00	0.00	0.278
8.00	1.00	0.271
8.00	2.00	0.276
8.00	3.00	0.275
8.00	4.00	0.261
8.00	5.00	0.260
8.00	6.00	0.279
8.00	7.00	0.284
8.00	8.00	0.277
8.00	9.00	0.289
8.00	10.00	0.288
8.00	11.00	0.287
8.00	12.00	0.292
8.00	13.00	0.180
8.00	14.00	0.300
8.00	15.00	0.307
8.00	16.00	0.307
8.00	17.00	0.302
8.00	18.00	0.306
8.00	19.00	0.305
8.00	20.00	0.300
8.00	21.00	0.046
8.00	22.00	0.303
8.00	23.00	0.303
8.00	24.00	0.293
9.00	0.00	0.189
9.00	1.00	0.188
9.00	2.00	0.185
9.00	3.00	0.276
9.00	4.00	0.261
9.00	5.00	0.274
9.00	6.00	0.273
9.00	7.00	0.278
9.00	8.00	0.277
9.00	9.00	0.289
9.00	10.00	0.288
9.00	11.00	0.297
9.00	12.00	0.297
9.00	13.00	0.305
9.00	14.00	0.304
9.00	15.00	0.303
9.00	16.00	0.303
9.00	17.00	0.306
9.00	18.00	0.014
9.00	19.00	0.025
9.00	20.00	0.025
9.00	21.00	0.304
9.00	22.00	0.299
9.00	23.00	0.299
9.00	24.00	0.298
10.00	0.00	0.188
10.00	1.00	0.188
10.00	2.00	0.184
10.00	3.00	0.269
10.00	4.00	0.268
10.00	5.00	0.267
10.00	6.00	0.266
10.00	7.00	0.278
10.00	8.00	0.290
10.00	9.00	0.294
10.00	10.00	0.196
10.00	11.00	0.192
10.00	12.00	0.305
10.00	13.00	0.305
10.00	14.00	0.308
10.00	15.00	0.303
10.00	16.00	0.298
10.00	17.00	0.018
10.00	18.00	0.030
10.00	19.00	0.031
10.00	20.00	0.300
10.00	21.00	0.300
10.00	22.00	0.299
10.00	23.00	0.066
10.00	24.00	0.073
11.00	0.00	0.188
11.00	1.00	0.184
11.00	2.00	0.192
11.00	3.00	0.276
11.00	4.00	0.268
11.00	5.00	0.261
11.00	6.00	0.003
11.00	7.00	0.285
11.00	8.00	0.295
11.00	9.00	0.303
11.00	10.00	0.195
11.00	11.00	0.187
11.00	12.00	0.184
11.00	13.00	0.183
11.00	14.00	0.304
11.00	15.00	0.303
11.00	16.00	0.013
11.00	17.00	0.029
11.00	18.00	0.030
11.00	19.00	0.301
11.00	20.00	0.296
11.00	21.00	0.295
11.00	22.00	0.304
11.00	23.00	0.052
11.00	24.00	0.072
12.00	0.00	0.188
12.00	1.00	0.188
12.00	2.00	0.188
12.00	3.00	0.276
12.00	4.00	0.262
12.00	5.00	0.268
12.00	6.00	0.010
12.00	7.00	0.019
12.00	8.00	0.014
12.00	9.00	0.195
12.00	10.00	0.195
12.00	11.00	0.187
12.00	12.00	0.300
12.00	13.00	0.312
12.00	14.00	0.012
12.00	15.00	0.008
12.00	16.00	0.023
12.00	17.00	0.023
12.00	18.00	0.036
12.00	19.00	0.297
12.00	20.00	0.291
12.00	21.00	0.290
12.00	22.00	0.289
12.00	23.00	0.045
12.00	24.00	0.302
13.00	0.00	0.188
13.00	1.00	0.188
13.00	2.00	0.184
13.00	3.00	0.180
13.00	4.00	0.262
13.00	5.00	0.268
13.00	6.00	0.267
13.00	7.00	0.019
13.00	8.00	0.010
13.00	9.00	0.007
13.00	10.00	0.191
13.00	11.00	0.187
13.00	12.00	0.309
13.00	13.00	0.016
13.00	14.00	0.011
13.00	15.00	0.012
13.00	16.00	0.022
13.00	17.00	0.017
13.00	18.00	0.292
13.00	19.00	0.286
13.00	20.00	0.291
13.00	21.00	0.290
13.00	22.00	0.290
13.00	23.00	0.299
13.00	24.00	0.303
14.00	0.00	0.188
14.00	1.00	0.188
14.00	2.00	0.184
14.00	3.00	0.177
14.00	4.00	0.177
14.00	5.00	0.013
14.00	6.00	0.013
14.00	7.00	0.291
14.00	8.00	0.009
14.00	9.00	0.006
14.00	10.00	0.187
14.00	11.00	0.007
14.00	12.00	0.011
14.00	13.00	0.011
14.00	14.00	0.016
14.00	15.00	0.016
14.00	16.00	0.294
14.00	17.00	0.293
14.00	18.00	0.293
14.00	19.00	0.292
14.00	20.00	0.291
14.00	21.00	0.290
14.00	22.00	0.295
14.00	23.00	0.299
14.00	24.00	0.307
15.00	0.00	0.184
15.00	1.00	0.187
15.00	2.00	0.187
15.00	3.00	0.176
15.00	4.00	0.005
15.00	5.00	0.013
15.00	6.00	0.005
15.00	7.00	0.003
15.00	8.00	0.009
15.00	9.00	0.003
15.00	10.00	0.001
15.00	11.00	0.004
15.00	12.00	0.004
15.00	13.00	0.011
15.00	14.00	0.027
15.00	15.00	0.021
15.00	16.00	0.011
15.00	17.00	0.293
15.00	18.00	0.293
15.00	19.00	0.292
15.00	20.00	0.291
15.00	21.00	0.296
15.00	22.00	0.304
15.00	23.00	0.303
15.00	24.00	0.303
16.00	0.00	0.180
16.00	1.00	0.180
16.00	2.00	0.183
16.00	3.00	0.176
